"Ticker","Tot_Asset_M","Creation / Redemption Fee","Median_Mkt_Cap_M","Name","Domicile","Fund_Type","NAV","Expense_Ratio","Tot_Ret_1M","Tot_Ret_3M","Tot_Ret_6M","Tot_Ret_1Y","Tot_Ret_3Y","Mean_Ret_5Y_Ann","Sharpe_3Y","Std_Dev_1Y-M","Avg_Price_Cash_Flow","Back Load","Front End Load","Beta_3Y","Front Load","Avg_Dvd_Yield","History_Length","Ret_Vs_Idx_3Y","Alpha_3Y"
ICPBCRG IN Equity,134791.328,,4187822,ICICI PRU BUS CYCLE FUND-RG,India,Open-End Fund,24.49,1.7,0.948,2.597,15.628,5.379,81.677,,1.371,13.017,21.36,1,,0.861,0,0.914,1681,27.04,0.595
ICPCORG IN Equity,29340.232,,571778.5,ICICI PRU COMMODITIES FD-RG,India,Open-End Fund,42.44,1.99,0.378,4.481,17.27,2.093,70.647,36.2,1.017,16.879,18.832,,,0.288,,0.606,2142,37.182,1.452
ICPDPIG IN Equity,269.2,,,ICICI PRD PENS IND GR FD,India,Open-End Fund,9.943,,-0.295,0.472,11.855,,,,,,,,,,,,359,,
ICPFMCG IN Equity,20018.064,,5159110,ICICI PRUDENTIAL FMCG-RG,India,Open-End Fund,483.53,2.13,2.228,-0.516,7.31,-9.69,29.699,15.785,0.241,15.449,36.806,1,,0.823,0,1.966,9646,-8.695,-0.02
ICPGROW IN Equity,232461.437,,768263.375,ICICI PRUDENTIAL TOP 100-RG,India,Open-End Fund,995.48,1.65,0.625,0.26,11.627,1.89,77.628,28.763,1.305,13.364,17.272,1,,0.816,0,0.976,9931,13.35,0.416
ICPHRRD IN Equity,948.521,,1060169,ICICI PRU NIFTY PHA IND-REID,India,Open-End Fund,16.725,0.98,-3.042,2.436,8.55,-2.882,,,,17.552,30.717,,,,,0.65,986,,
ICPNADG IN Equity,1453.66,,2451835,ICICI PRU NIFTY AUTO IN F-DG,India,Open-End Fund,20.351,0.4,6.799,7.261,17.634,-1.874,,,,19.602,41.547,,,,,1.155,1050,,
ICPNBDG IN Equity,74.803,,3934228,ICICI PR NIF PRV BN IN FN-DG,India,Open-End Fund,9.468,0.35,-4.391,,,,,,,,1.911,,,,,0.494,40,,
ICPNIDD IN Equity,4984.825,,6268798,ICICI PRU NIFTY IT IND FD-DD,India,Open-End Fund,12.598,0.37,1.369,-3.764,-6.883,-11.775,31.823,,,19.927,19.004,,,,,2.654,1104,-1.642,
ICPNJIG IN Equity,76917.359,,1331099,ICICI PRU NIFTY JR INDEX-RG,India,Open-End Fund,58.762,0.68,-0.272,-0.542,12.882,-10.709,54.814,21.756,0.695,20.658,38.948,0.25,,0.999,0,0.957,5539,-3.856,-0.069
ICPNMRG IN Equity,5588.35,,1627871,ICICI PRU NIF200 MO 30 IN-RG,India,Open-End Fund,16.104,1,-1.533,-1.512,8.136,-18.46,54.233,,,19.854,20.655,,,,,0.351,1115,-6.923,
ICPNQDD IN Equity,189.259,,1791747,ICICI PRU NI200 QU 30 IND-DD,India,Open-End Fund,9.899,0.35,2.128,,,,,,,,25.53,,,,,2.034,78,,
ICPNVRG IN Equity,950.798,,1534968,ICICI PRUD NIF200 VAL30 I-RG,India,Open-End Fund,9.164,0.94,-2.995,-2.379,11.614,,,,,,24.612,,,,,2.632,310,,
ICPQFDD IN Equity,21086.014,,2236295,ICICI PRUDEN QUALI FN-DD,India,Open-End Fund,10.23,0.79,0.689,1.994,,,,,,,26.499,,,,,1.411,93,,
ICPRNDD IN Equity,2265.485,,1026677,ICICI PRU NFT LMC 250 IDX-DD,India,Open-End Fund,11.962,0.25,-1.018,0.175,12.87,-2.353,,,,16.222,28.234,,,,,0.963,531,,
ICPTAXG IN Equity,144031.156,,3241111,ICICI PRU LONG TERM EQ TS-RG,India,Open-End Fund,933.14,1.72,1.11,1.598,13.343,1.239,57.113,22.631,0.867,14.108,17.765,0,,0.858,0,0.779,9515,2.476,0.152
ICRPERG IN Equity,13326.812,,644938.625,ICICI RETIRE PURE EQTY-RG,India,Open-End Fund,32.11,2.08,-1.594,3.681,17.233,4.763,85.607,28.945,1.28,17.455,50.974,,,1.03,,0.64,2372,30.97,0.482
IDBFPUF IN Equity,5138.9,,2326726,AGEAS FEDERAL PURE EQUITY FD,India,Open-End Fund,48.372,,-0.599,-2.55,6.484,-9.541,46.22,18.651,0.59,16.567,19.184,,,,,1.004,5474,,
IDBGROD IN Equity,28420.332,,358013.594,SUNDARAM MULTI CAP GROWTH-RD,India,Open-End Fund,66.623,1.99,-0.167,2.137,13.852,-4.336,31.624,17.479,0.354,15.884,44.038,1,,0.948,0,0.629,9036,-33.295,-0.573
IDBHCRG IN Equity,909.817,,602244.812,IDBI HEALTHCARE F-RG,India,Open-End Fund,29.407,2.45,-1.954,4.319,9.143,4.066,74.422,17.143,0.98,16.626,38.217,1,,0.933,0,0.411,2364,-22.947,-0.262
IDBIJIG IN Equity,976.293,,1331099,IDBI NIFTY NXT 50 INDX-RG,India,Open-End Fund,49.609,0.91,-0.293,-0.415,12.878,-10.557,54.041,21.442,0.687,20.598,38.991,0,,0.994,0,0.957,5469,-4.628,-0.075
IDBINDD IN Equity,1081.715,,774656.312,PRINCIPAL NIFTY 100 EQ WT-RD,India,Open-End Fund,81.208,1.08,0.151,0.329,12.267,-12.171,23.643,17.493,0.18,20.906,13.924,1,,1.098,0,1.772,9528,-38.84,-0.87
IDBLVRG IN Equity,1698.405,,239797.406,LIC MF VALUE FUND-REG GROWTH,India,Open-End Fund,23.414,2.47,-2.933,-0.305,8.416,-9.917,47.816,21.544,0.628,21.528,,0,,1.07,0,0.727,2556,-6.821,-0.179
IDBUEQG IN Equity,13770.8,,11186000,AGEAS FED ULIP-EQ GROWTH FD,India,Open-End Fund,59.211,,-0.763,-1.812,8.65,-2.665,40.17,18.56,0.555,13.193,20.484,,,,,1.053,6372,,
IDBUEQP IN Equity,287.4,,11186000,AGEAS FED ULIP-EQTY GW-PEN,India,Open-End Pension,85.028,,-0.76,-1.703,8.94,-1.85,41.014,18.776,0.58,13.025,20.784,,,,,1.05,5999,,
IDBUMDC IN Equity,16865.5,,860858.312,AGEAS FEDERAL - MID CAP FUND,India,Open-End Fund,87.74,,-2.497,-1.803,11.281,-9.847,75.477,30.073,1.042,19.603,40.158,1,,,0,0.201,5717,,
IDBUNIX IN Equity,80.8,,11186000,AGEAS FED ULIP - NIFTY INDEX,India,Open-End Fund,48.243,,-0.271,-1.112,9.035,-2.094,41.49,19.096,0.574,13.189,20.656,,,,,1.077,6372,,
IDDIVRG IN Equity,6398.365,,768263.375,LIC MF DIVIDEND YILD FUND-RG,India,Open-End Fund,29.998,2.34,-1.938,-1.128,12.173,-5.412,74.405,,1.101,17.924,,0,,1.067,0,0.944,1462,19.768,0.293
