"Ticker","Tot_Asset_M","Creation / Redemption Fee","Median_Mkt_Cap_M","Name","Domicile","Fund_Type","NAV","Expense_Ratio","Tot_Ret_1M","Tot_Ret_3M","Tot_Ret_6M","Tot_Ret_1Y","Tot_Ret_3Y","Mean_Ret_5Y_Ann","Sharpe_3Y","Std_Dev_1Y-M","Avg_Price_Cash_Flow","Back Load","Front End Load","Beta_3Y","Front Load","Avg_Dvd_Yield","History_Length","Ret_Vs_Idx_3Y","Alpha_3Y"
KOUAGGT IN Equity,2270.687,,6654219,KOTAK MAHINDRA ULIP AGG GRWT,India,Open-End Fund,187.187,,-0.169,-0.183,10.334,-1.534,45.639,19.385,0.677,13.112,21.897,,,,,1.028,7163,,
KOUDGWT IN Equity,525.399,,7321312,KOTAK MAHINDRA ULIP DYN GR,India,Open-End Fund,175.304,,-1.313,-1.497,7.301,-3.356,44.808,17.278,0.781,11.761,,,,,,1.039,8093,,
KOUOPPF IN Equity,6334.08,,7321312,KOTAK OPPORTUNITIES FUND,India,Open-End Fund,114.542,,-0.873,-0.29,10.301,-4.401,49.245,19.866,0.734,14.937,21.677,,,,,1.01,6172,,
KOUPCOP IN Equity,140.119,,12058970,KOTAK ULIP PEN CLASSIC OPPTY,India,Open-End Pension,61.499,,0.362,-0.162,9.432,-0.445,42.521,16.884,0.635,11.978,21.658,,,,,1.221,5710,,
KOUPFLE IN Equity,54.026,,12058970,KOTAK ULIP PEN FRONTLINE EQY,India,Open-End Pension,59.66,,0.379,-0.168,9.384,0.765,40.585,17.215,0.61,11.44,23.203,,,,,1.152,5706,,
KOUPNFF IN Equity,4.721,,4766145,KOTAK PENSION FLOOR FUND,India,Open-End Pension,10,,0,0,0,-58.297,-52.58,-6.313,-0.608,58.465,13.488,,,,,1.359,5888,,
KOUPNGF IN Equity,7.839,,6654219,KOTAK PENSION GROWTH,India,Open-End Pension,34.047,,-0.36,-0.624,5.814,1.674,19.296,5.572,-0.111,6.632,12.495,,,,,1.049,6076,,
KOUPNOP IN Equity,2.941,,12058970,KOTAK PENSION OPPORTUNITIES,India,Open-End Pension,10,,0,-82.725,-81.417,-82.697,-75.787,-1.196,-0.417,83.805,22.361,,,,,1.011,5882,,
KPBLC IN Equity,77726.266,,3313740,FRANKLIN INDIA LRG CAP FN-RG,India,Open-End Fund,1028.467,1.84,0.435,2.086,12.13,1.474,48.75,20.719,0.708,13.947,29.261,1,,0.987,0,0.881,11590,6.194,0.104
KQNTFRD IN Equity,6418.735,,1331099,KOTAK QUANT FUND-REG IDCW,India,Open-End Fund,14.55,1.71,0.041,1.521,10.002,-7.981,,,,16.48,24.991,0.5,,,0,0.709,750,,
KSM50RG IN Equity,1423.765,,250310.797,KOTAK NFTY SMALLCAP 50 IX-RG,India,Open-End Fund,19.435,0.9,-4.435,-0.476,13.33,-7.457,,,,22.893,102.842,,,,,0.668,862,,
KSOPPDD IN Equity,19729.225,,335912.687,KOTAK SPCIL OPPTN FD-DIR IDC,India,Open-End Fund,9.581,0.67,0.314,0.052,11.123,-6.981,,,,18.403,19.647,,,,,1.288,418,,
KTCONRG IN Equity,13733.571,,1006810,KOTAK CONSUMPTION FN-REG GRT,India,Open-End Fund,14.236,2.1,4.746,8.722,16.564,2.839,,,,17.049,26.271,,,,,0.889,644,,
KTECHRG IN Equity,5865.093,,2970378,KOTAK TECHNOLOGY FUND-REGRWT,India,Open-End Fund,11.48,2.39,0.923,1.306,0.834,-7.531,,,,17.303,17.971,,,,,1.762,538,,
KTHLTRG IN Equity,4852.716,,661997.687,KOTAK HEALTHCARE FD-REG GRWT,India,Open-End Fund,13.478,2.4,-2.77,3.122,11.425,2.448,,,,18.306,35.728,,,,,0.491,618,,
KTKFNDG IN Equity,4222.184,,1748426,KOTAK TRANSP LOG FUN-DG,India,Open-End Fund,11.311,0.83,4.432,11.099,22.626,,,,,,27.721,,,,,1.083,247,,
KTNAIRD IN Equity,,,,KOTK NIF ALP 50 INDX FN-RD,India,Open-End Fund,9.792,,,,,,,,,,,,,,,,5,,
KTNTERG IN Equity,178.16,,6268798,KTK NFT TP 10 EQ WG IN FN-RG,India,Open-End Fund,9.822,0.92,-1.741,-4.213,,,,,,,20.886,0,,,0,1.405,117,,
LIBFSRG IN Equity,2754.3,,1186479,LIC MF BANK & FINAN SERV-RG,India,Open-End Fund,20.512,2.45,-3.685,-0.312,15.853,3.761,39.314,20.788,0.62,13.675,,2,,0.971,0,0.914,3803,-3.241,0.106
LICARRG IN Equity,1917.164,,1971737,LIC MF ARBITRAGE FUND-RG,India,Open-End Fund,13.931,0.99,0.429,1.406,3.085,6.48,21.256,5.203,-1.204,0.322,29.389,,,0.497,0,1.132,2403,-2.781,0.238
LICDHAN IN Equity,14591.392,,3934228,LIC MF GROWTH FUND-RG,India,Open-End Fund,55.496,2.14,-0.385,-0.899,12.242,-2.762,38.609,17.222,0.485,15.902,,1,,0.968,0,1.135,11138,-8.862,-0.157
LICINFG IN Equity,10382.694,,239797.406,LIC MF INFRASTRUCTURE-RG,India,Open-End Fund,47.911,2.2,-3.609,-0.692,17.468,-8.222,101.363,34.529,1.258,27.305,,1,,0.897,0,0.783,6363,21.363,0.628
LICMFNP IN Equity,3329.463,,5159110,LIC MF NIFTY 50 INDEX-G,India,Open-End Fund,136.712,1.08,-0.412,-0.66,9.938,-1.013,40.975,18.515,0.565,13.057,23.595,0.25,,0.998,0,1.239,8300,-4.688,-0.09
LICMFSP IN Equity,886.979,,5923790,LIC MF BSE SENSEX INDEX F-GR,India,Open-End Fund,151.279,1.15,-0.789,-1.202,8.598,-1.049,38.008,17.737,0.517,12.315,20.579,0.25,,0.995,0,1.172,8300,-4.548,-0.086
LICPFE1 IN Equity,68298.023,,3718812,LIC SCHEME E TIER 1,India,Open-End Pension,44.72,,-0.288,-0.571,10.911,-1.548,50.271,21.134,0.775,12.21,21.015,,,,,1.151,3526,,
LICPFE2 IN Equity,1754.233,,3718812,LIC SCHEME E TIER 2,India,Open-End Pension,37.203,,-0.393,-0.718,10.841,-1.401,48.213,21.625,0.935,12.239,21.775,,,,,1.149,2360,,
LICTAXG IN Equity,11149.113,,1499748,LIC MF ELSS TAX SAVER-G,India,Open-End Fund,150.957,2.15,-0.983,-0.423,9.367,-2.016,50.956,20.851,0.818,14.758,,0,,0.884,0,0.805,10318,8.4,0.347
LIMAFRD IN Equity,8622.26,,239797.406,LIC MF MANUFACTURING FUND-RD,India,Open-End Fund,9.726,2.23,-2.557,1.191,18.257,,,,,,59.959,,,,,0.745,315,,
LIMIDRG IN Equity,31008.701,,793526.875,LIC MF MIDCAP FUND-RG,India,Open-End Fund,37.904,1.91,-1.82,-0.871,11.556,-4.788,53.545,22.917,0.776,18.156,,0,,1.003,0,0.91,3835,-10.732,-0.172
LMULCRG IN Equity,16789.506,,598307.187,LIC MF MULTI CAP FUND-RG,India,Open-End Fund,17.472,0.49,-1.679,1.042,14.219,-1.941,,,,19.124,146.856,,,,,0.853,1029,,
LOIMSCG IN Equity,40699.645,,629267.812,INVESCO MID & SMALL CAP-RG,India,Open-End Fund,129.57,1.88,-1.099,0.139,12.085,-2.711,67.49,25.02,1,19.054,66.024,0,,0.953,0,0.399,6371,2.571,0.08
LOINBRG IN Equity,14327.634,,1186479,INVESCO IN BANKING FUND-RG,India,Open-End Fund,134.68,2.13,-2.877,0.455,16.324,7.042,72.822,24.794,1.28,14.348,100.001,1,,0.84,0,0.77,6250,20.215,0.583
LOINCOG IN Equity,192877.172,,1186479,INVESCO INDIA CONTRA FUND-RG,India,Open-End Fund,134.36,1.63,-1.228,1.297,12.832,-0.717,71.794,24.123,1.151,15.814,38.222,0,,0.968,0,0.68,6712,18.083,0.37
LOINFRG IN Equity,15693.69,,547092,INVESCO IN INFRASTRUCTURE-RG,India,Open-End Fund,63.24,2.11,-2.09,-0.566,19.637,-6.283,95.729,33.236,1.18,26.212,31.712,0,,0.645,0,0.638,6488,-1.144,0.633
LOINGRG IN Equity,80071.008,,985837.812,INVECO IN LARGE & MID CAP-RG,India,Open-End Fund,101.53,1.77,-0.373,6.975,21.782,9.254,96.004,26.133,1.398,19.556,66.481,1,,0.802,0,0.311,6589,54.443,1.166
LOINMCG IN Equity,78018.031,,571778.5,INVESCO INDIA MIDCAP FUND-RG,India,Open-End Fund,181.07,1.74,0.138,8.211,24.404,11.236,108.222,30.967,1.465,21.712,,0,,0.939,0,0.305,6704,24.933,0.412
LOTTAXG IN Equity,28218.992,,698187.687,INVESCO INDIA ELSS TAX SAR-G,India,Open-End Fund,125.07,1.92,-1.06,0.539,13.339,-2.044,59.793,20.764,0.872,17.328,62.397,0,,1.01,0,0.624,6809,10.276,0.196
LTBCYRG IN Equity,11063.84,,698187.687,HSBC BUSINESS CYCLES FUND-RG,India,Open-End Fund,42.093,2.23,-2.2,-0.365,16.322,-2.084,74.385,28.215,1.051,22.527,,1,,1.098,0,0.519,4025,19.748,0.307
LTEMBRD IN Equity,165358.234,,223638.094,HSBC SMALL CAP-IDCW,India,Open-End Fund,39.508,1.67,-3.685,0.584,13.131,-8.775,34.021,28.595,0.413,23.97,,0,,0.893,0,0.495,4125,-51.014,-0.682
LTN50RG IN Equity,3477.188,,5001495,HSBC NIFTY 50 IDX - RG,India,Open-End Fund,28.517,0.44,-0.358,-0.517,10.223,-0.47,43.408,19.178,0.62,13.031,23.656,,,0.995,,1.234,1958,-3.394,-0.061
LTNNFRG IN Equity,1366.766,,1331099,HSBC NIF NXT 50 IDX - RG,India,Open-End Fund,28.574,0.72,-0.278,-0.509,12.714,-10.784,53.764,21.535,0.68,20.604,38.949,0,,0.998,0,0.957,1958,-4.905,-0.087
M250SDG IN Equity,2139.761,,66168.5,MIRE AST NIF SC250 100-DR GR,India,Open-End Fund,9.916,0.14,-4.091,-1.52,9.885,-16.497,,,,23.672,64.255,,,,,0.901,541,,
M500TDG IN Equity,6975.052,,133171296,MIR AST SP500 T ET FOF-DR GR,India,Open-End Fund,22.942,0.09,11.142,18.063,7.006,48.617,127.329,,1.41,28.755,32.466,,,,,0.832,1435,,
MA250RG IN Equity,26879.6,,844035.875,MAHA MULF LGE & MD CP FD-R G,India,Open-End Fund,26.328,1.93,-2.546,0.167,11.807,-6.404,54.668,24.56,0.842,16.775,38.366,1,,0.958,0,0.876,2065,-9.609,-0.09
MAARBRG IN Equity,29982.305,,957653.125,MIRAE ARBITRAGE - RG,India,Open-End Fund,13.134,0.93,0.467,1.499,3.06,6.486,22.109,5.474,-0.375,0.367,33.454,0,,0.632,0,0.852,1895,-1.928,0.178
MABFSDG IN Equity,2865.521,,3934228,MAHIN MAN BNK & FIN SERV-DG,India,Open-End Fund,9.709,0.5,-2.583,,,,,,,,,,,,,0.937,37,,
MAGEMBG IN Equity,379361.656,,1499748,SBI FOCUSED FUND-GROWTH,India,Open-End Fund,348.325,1.57,-0.756,1.317,10.676,4.943,51.433,20.728,0.886,12.158,24.953,1,,0.69,0,0.635,7621,-2.159,0.318
MAGMDCG IN Equity,225465.031,,523287.594,SBI MIDCAP FUND-REGULAR GROT,India,Open-End Fund,226.533,1.67,-2.902,-2.638,8.102,-5.492,52.577,28.586,0.891,15.766,26.55,1,,0.72,0,0.806,7435,-31.267,0.003
MAHVLRG IN Equity,4833.237,,890859.875,MAHINDRA MANULIFE VALUE-RG,India,Open-End Fund,11.12,2.37,-1.351,-1.198,,,,,,,22.513,,,,,1.57,175,,
MAINORG IN Equity,399753.187,,3963988,MIRAE ASSET LARGE CAP FD-RG,India,Open-End Fund,112.501,1.52,0.154,0.977,12.227,0.957,43.746,18.558,0.625,13.391,38.936,0,,0.873,0,1.205,6354,-2.323,0.059
MAKBYRG IN Equity,9528.115,,2971687,MAHDRA MNALFE ELSS TX SVR-RG,India,Open-End Fund,28.309,2.16,-0.231,0.189,12.507,-1.815,48.978,22.38,0.744,14.17,29.562,0,,0.888,0,0.957,3234,-5.659,0.008
MALMCDD IN Equity,234.142,,1026677,MIRAE ASS LARGEMIDC 250I-DID,India,Open-End Fund,10.119,0.2,-1.001,0.185,12.815,,,,,,28.243,,,,,0.963,306,,
MAMCFRG IN Equity,170306.125,,547092,MIRAE ASSET MIDCAP FUND-RG,India,Open-End Fund,35.939,1.66,-0.647,4.843,19.997,-2.103,66.623,29.557,0.889,19.85,40.168,1,,0.979,,0.689,2221,-16.653,-0.316
MAMLTRG IN Equity,39433.59,,736502.625,MIR AST MULTI CAP FUND - RG,India,Open-End Fund,14.134,1.86,-0.703,2.428,16.31,-0.219,,,,16.536,59.401,,,,,0.904,971,,
MANSTRG IN Equity,802.131,,,MAHINDRA MANU ST-RG,India,Open-End Fund,12.856,1.25,0.077,0.884,4.167,7.71,-24.476,13.384,-0.163,57.499,,0,,,0,,2065,,
MAPBYRG IN Equity,7089.302,,3983147,MAHA MULF LRG CAP FUND-REG G,India,Open-End Fund,22.873,2.31,0.056,-0.658,10.2,-3.17,46.698,19.68,0.679,13.474,49.88,1,,0.944,0,1.131,2353,0.629,0.064
MAXDEQY IN Equity,31246.4,,,MAX LIFE DIVERSIFIED EQUITY,India,Open-End Fund,29.89,,-0.449,0.68,11.462,-1.496,70.508,23.222,1.134,14.997,,,,0.946,,,2059,17.737,0.385
MAXMCMI IN Equity,6209.9,,,MIDCAP MOMENTUM IX ULFMDNT,India,Open-End Fund,11.495,,-1.88,-0.283,13.708,14.605,,,,24.787,,,,,,,574,,
MAXUPGS IN Equity,2477.5,,3256801,MAX LIFE ULIP PENS GRW SUPER,India,Open-End Pension,61.098,,-0.232,2.545,11.834,0.372,69.06,23.954,1.071,16.409,10.48,,,0.95,,0.794,6494,26.276,0.574
MAXUPNG IN Equity,2502,,6654219,MAX LIFE ULIP PENSION GROWTH,India,Open-End Pension,71.328,,-1.056,-0.607,6.165,0.844,43.545,14.21,0.891,10.008,24.749,,,,,0.834,7152,,
MBSEFRG IN Equity,212.319,,1352877,MO BSE FINAN EX BANK 30 - RG,India,Open-End Fund,16.481,1.04,-1.156,-0.274,15.246,5.233,62.712,,,16.228,,,,,,0.823,1119,-5.358,
MEVAIRG IN Equity,8219.965,,1428670,MTL OWL BSE NHCD VL IND FD R,India,Open-End Fund,23.757,1.11,-3.659,-2.675,11.123,-10.284,127.662,,,17.609,8.945,,,,,2.531,1097,-11.775,
MFLXCRG IN Equity,29953.145,,1390051,MIR ASSET FLEXI CAP FUND-RG,India,Open-End Fund,15.582,1.91,-0.32,2.11,13.34,1.71,,,,15.148,,1,,,,0.922,915,,
MFOCFRG IN Equity,80173.555,,695321.125,MIRAE FOCUSED FUND-RG,India,Open-End Fund,25.882,1.77,-0.158,2.317,13.567,3.719,38.288,18.976,0.504,14.239,24.668,1,,0.816,0,1.06,2297,-16.349,-0.113
MGM93 IN Equity,333481.687,,957653.125,SBI MAGNUM MULTIPLIER-RG,India,Open-End Fund,616.897,1.58,-0.9,2.45,12.217,1.751,61.614,25.745,1.14,12.255,51.231,0.1,,0.795,0,0.897,10376,-4.363,0.243
MGSTGFG IN Equity,264062.469,,881111.312,HDFC LARGE AND MID CAP-RG,India,Open-End Fund,335.695,1.64,-1.017,1.132,13.551,-2.111,72.968,28.664,1.112,16.144,29.414,1,,0.986,0,0.93,11555,30.184,0.624
MHBDYRG IN Equity,57270.328,,602244.812,MAHDRA MULF MLT CP FND-REG G,India,Open-End Fund,34.772,1.78,-2.394,1.625,13.776,-4.126,70.125,27.662,1.085,17.734,92.934,1,,0.968,0,0.779,3023,5.206,0.164
MIANFDG IN Equity,2136.859,,494286.094,MIRA ASSE NIF 200 ALP FOF-DG,India,Open-End Fund,8.739,0.1,-0.817,2.51,15.412,-14.99,,,,23.28,42.441,,,,,0.33,394,,
MIANTRG IN Equity,443.212,,1971737,MIR ASS NIF TOT MAR IND-RG,India,Open-End Fund,10.067,0.91,-1.052,-0.26,11.755,,,,,,30.029,,,,,1.031,302,,
MIASGDG IN Equity,1202.049,,,MIRAE ASSET GOLD ETF FOF-DG,India,Open-End Fund,12.795,0.12,1.977,4.911,14.97,,,,,,,,,,,,303,,
MIBFSRG IN Equity,20424.533,,3934228,MIRAE ASSET B&FS - RG,India,Open-End Fund,20.079,2.03,-2.822,-0.55,16.184,8.213,57.581,,0.933,13.927,,1,,0.971,0,0.844,1720,4.975,0.135
MIRANDD IN Equity,323.989,,5001495,MIRAE AST NIFTY 50 IDX FN-DD,India,Open-End Fund,10.227,0.14,-0.338,-0.446,10.347,,,,,,23.657,,,,,1.234,281,,
MIRASDG IN Equity,20217.338,,210660.797,MIRAE ASSET SMALL CAP FD-DG,India,Open-End Fund,11.367,0.4,-0.933,4.929,20.566,,,,,,,,,,,0.63,205,,
MIREBCG IN Equity,405540.906,,957653.125,MIRAE AS LARGE&MIDCAP-G,India,Open-End Fund,148.144,1.52,-0.823,1.599,14.739,-3.003,54.116,23.224,0.765,16.54,36.293,1,,0.791,0,0.979,5528,-31.659,-0.246
MIRHCRG IN Equity,29082.082,,661997.687,MIRAE ASSET HEALTHCARE-RG,India,Open-End Fund,38.577,1.92,-2.743,4.562,12.699,1.883,80.562,21.675,1.082,18.134,40.78,15,,0.996,0,0.451,2613,-16.807,-0.234
MIRICCG IN Equity,44033.398,,1783836,MIRAE ASSET GREAT CONSUMR-RG,India,Open-End Fund,95.627,1.84,3.208,5.765,15.848,-2.772,64.977,23.699,0.838,18.514,27.201,1,,0.951,0,0.733,5263,4.022,0.131
MIRTSRG IN Equity,260756.281,,2602874,MIRAE AS ELSS TS-REG GR,India,Open-End Fund,48.404,1.55,-1.055,1.508,14.021,-0.352,57.049,23.383,0.871,14.828,32.642,0,,0.938,0,1.107,3530,2.412,0.09
MLVOLRG IN Equity,1143.93,,1868967,MOTILAL OSWAL BSE LOW VOL,India,Open-End Fund,16.324,1.05,0.177,0.428,9.014,-4.676,52.073,,0.729,13.756,25.561,1,,0.995,0,0.894,1246,-6.992,-0.12
MM250RG IN Equity,25944.947,,79448.406,MOS NIFTY MICROCAP 250 IX-RG,India,Open-End Fund,16.82,1.11,-3.245,-0.44,12.893,-8.931,,,,23.223,37.857,,,,,0.569,778,,
MMARBRG IN Equity,969.459,,2971687,MAHA MULIFE ARBITGE FD-REG G,India,Open-End Fund,12.426,0.99,0.347,1.337,2.6,5.392,17.857,,-3.721,0.313,14.379,,,0.441,,0.687,1828,-6.18,0.192
MMFCYRG IN Equity,15285.621,,2971687,MAHRA MULIFE FLX CP FD-REG G,India,Open-End Fund,16.048,2.05,-0.434,0.281,11.811,-2.365,55.594,,0.88,14.465,30.37,,,0.909,,0.954,1463,0.957,0.117
MMFEQRG IN Equity,21366.5,,3313740,MAHA MULIFE FOUSD FUND-REG G,India,Open-End Fund,25.994,1.98,-0.916,-1.18,8.325,-5.957,67.553,,1.076,13.661,33.757,1,,0.929,0,1.487,1742,12.916,0.318
MMFGFRG IN Equity,1105.788,,751865.375,MA NIFTY MFG ETF FOF - RG,India,Open-End Fund,18.071,0.43,0.95,0.91,14.323,-5.124,70.933,,0.974,17.799,27.058,0.5,,0.989,0,0.919,1304,-5.894,-0.083
MMSCFRG IN Equity,40529.18,,203095.5,MAH MANU SMALL CAP FUND - RG,India,Open-End Fund,19.027,1.85,-1.187,3.575,15.862,-8.888,,,,21.387,83.886,0.5,,,0,0.696,987,,
MMSMQDG IN Equity,2379.711,,402801.312,MA MS400 MOM QUAL 100 ETF-DG,India,Open-End Fund,9.635,0.13,-2.844,-3.234,10.62,-12.979,,,,21.884,35.75,,,,,0.753,415,,
MN500RG IN Equity,24323.787,,2268266,MOTILAL OSWAL NIFTY 500-RG,India,Open-End Fund,25.379,0.88,-0.96,-0.233,11.816,-3.185,49.968,21.449,0.74,15.504,29.633,,,0.996,,1.052,2177,-6.198,-0.109
MNIFBRG IN Equity,6532.236,,7352649,MOTILAL OSWAL NIFTY BANK-RG,India,Open-End Fund,19.37,0.99,-3.535,-1.631,12.376,6.321,39.235,22.616,0.616,12.206,5.251,,,0.996,,0.775,2177,-4.62,-0.088
MNM150R IN Equity,24724.668,,622372.812,MOTILAL OS NIFTY MID 150-RG,India,Open-End Fund,36.561,1,-1.754,0.662,14.616,-3.264,78.047,30.589,1.143,19.06,29.825,,,1,,0.741,2177,-5.23,-0.082
MNMFGRG IN Equity,8392.874,,941185.875,MAHINDRA MANULIF MANUF FD-RG,India,Open-End Fund,9.611,2.26,-1.082,-0.022,15.526,-6.871,,,,19.711,25.439,,,,,1.067,427,,
MNS250R IN Equity,9699.719,,199408.5,MOTILAL OS NIFTY SMALL 250-R,India,Open-End Fund,35.956,1.04,-3.59,0.796,15.904,-7.821,78.746,33.305,1.01,23.714,69.002,,,0.999,,0.654,2177,-6.29,-0.098
MOBCFRD IN Equity,19497.273,,613668.125,MOTILAL OSWAL BUSIN CYCLE-RI,India,Open-End Fund,12.623,2.04,2.226,3.245,14.409,,,,,,151.498,,,,,0.297,359,,
MOF30RG IN Equity,336085.344,,807102.187,MOTILAL OSWAL MIDCAP-REG-G,India,Open-End Fund,103.152,1.56,1.992,4.034,12.997,1.405,111.496,36.835,1.397,22.147,,1,,0.883,0,0.313,4201,28.22,0.568
MOF35RG IN Equity,137266.453,,1026677,MOTILAL OSWAL FLEXI CAP-RG,India,Open-End Fund,61.308,1.71,0.256,1.993,12.258,4.623,85.19,21.193,1.206,21.322,44.222,0,,0.951,0,0.339,4138,30.553,0.611
MOFLTRG IN Equity,44019.695,,465244.187,MOTILAL OSWAL ELS TAX SAV-RG,India,Open-End Fund,50.135,1.81,-4.799,-1.607,15.809,-3.36,90.382,28.337,1.18,27.959,102.113,0,,1.155,0,0.262,3870,35.745,0.529
MOLDFRG IN Equity,124278.906,,700582.812,MOTI OSWAL LARGE & MID - RG,India,Open-End Fund,32.722,1.72,-3.172,-0.606,18.31,2.312,101.225,30.833,1.313,27.792,40.972,,,1.116,,0.241,2136,35.248,0.459
MOMCPRG IN Equity,41303.402,,613668.125,MOTILAL OSWAL MUL C-REG GROW,India,Open-End Fund,13.573,1.88,1.019,2.051,14.952,16.432,,,,22.566,154.406,,,,,0.273,432,,
MON50RG IN Equity,7228.354,,5001495,MOTILAL OSWAL NIFTY 50-RG,India,Open-End Fund,20.884,0.51,-0.367,-0.541,10.21,-0.545,43.073,19.112,0.611,13.068,23.597,,,0.999,0,1.239,2071,-2.59,-0.049
MON5MDG IN Equity,7105.119,,985837.812,MOTILAL OSW NIF 500 M50 I-DG,India,Open-End Fund,7.965,0.41,-2.555,-2.139,9.206,,,,,,23.872,,,,,0.323,331,,
MONCMRG IN Equity,2613.477,,425542.094,MOTI OSW NIFT CP MKT-RG,India,Open-End Fund,10.12,1.1,-3.728,3.879,27.862,,,,,,98.076,,,,,1.031,250,,
MONMIRG IN Equity,9296.201,,1627871,MO NIFTY 200 MOMENTUM 30 IRG,India,Open-End Fund,14.727,1,-1.541,-1.614,8.1,-18.368,55.852,,0.752,19.837,20.656,1,,,0,0.351,1288,,
MONNFRG IN Equity,3561.049,,1331099,MOTILAL OS NIFTY NXT 50-RG,India,Open-End Fund,23.002,1.04,-0.297,-0.569,12.72,-10.648,54.047,21.29,0.686,20.603,38.95,1,,0.997,0,0.957,2071,-4.622,-0.079
MOQNTRD IN Equity,1450.145,,352995.687,MOTILAL OSWAL QUANT FU-RE ID,India,Open-End Fund,8.824,0.97,-2.759,-0.634,11.013,,,,,,70.854,,,,,1.176,327,,
MOSAMRG IN Equity,1235.269,,698187.687,MOTI OSWAL ACT MOME FN-RG,India,Open-End Fund,11.184,2.66,2.093,6.594,,,,,,,38.381,1,,,,0.215,156,,
MOSIFRG IN Equity,434.779,,698187.687,MOTI OSW INFRA FUND-RG,India,Open-End Fund,11.745,2.65,4.508,9.583,,,,,,,49.395,,,,,0.262,99,,
MOSNSRG IN Equity,284.004,,601543.5,MOTIL OSWAL NIF MIDSM HEA-RG,India,Open-End Fund,10.622,1.11,-3.106,6.042,14.923,,,,,,41.468,,,,,0.361,275,,
MOSP500 IN Equity,38225.66,,17175160,MOTILAL OSWAL S&P500 FUND-RG,India,Open-End Fund,25.287,1.13,2.501,14.631,8.962,19.816,68.389,18.817,0.996,14.808,23.2,1,,0.891,0,1.191,1946,-14.119,0.084
MOTFSDG IN Equity,477.403,,552721.875,MOTILAL OSW NI FN SER IDX-DG,India,Open-End Fund,11.812,0.63,-1.491,3.63,25.531,,,,,,31.339,,,,,0.799,275,,
MOTIODG IN Equity,2837.232,,552721.875,MOTILAL OSWAL INNOVA OPPO-DG,India,Open-End Fund,12.769,1.03,1.615,9.725,27.495,,,,,,17.63,,,,,0.444,184,,
MOTODDG IN Equity,8192.581,,275373.5,MOTILAL OSW DIGIT INDI FD-DG,India,Open-End Fund,10.43,0.81,3.055,5.067,15.639,,,,,,38.281,,,,,0.602,292,,
MOTOIDG IN Equity,34959.289,,1286769,MOTILAL OSWAL NIF IND DEF-DG,India,Open-End Fund,9.855,0.42,-5.874,-12.078,41.144,6.659,,,,45.737,87.51,1,,,0,0.461,414,,
MOTOMRI IN Equity,7746.932,,700582.812,MOTILAL OSWAL MAN F-REG IDCW,India,Open-End Fund,11.245,2.29,1.217,2.168,22.307,7.627,,,,,89.657,,,,,0.178,378,,
MOTOSRG IN Equity,418.09,,428618.312,MOTILAL OSWAL SERVI FN-RG,India,Open-End Fund,10.345,2.66,4.027,,,,,,,,,,,,,0.323,72,,
MOTWMDG IN Equity,159.796,,633406.375,MOTILAL OSWAL NI MS IDX C-DG,India,Open-End Fund,10.235,0.62,-1.276,1.939,10.923,,,,,,49.326,,,,,0.492,275,,
MPUGROT IN Equity,3694.2,,,MAX LIFE PURE GROWTH FUND,India,Open-End Fund,16.546,,1.136,0.976,10.919,-5.776,,,,16.843,,,,,,,931,,
MQULIRG IN Equity,535.694,,1390051,MTL OSWL BSE QL IND REG-G,India,Open-End Fund,16.417,1.05,0.297,-1.342,11.349,-11.877,62.15,,,18.166,47.989,1,,,0,1.409,1097,-6.809,
MRBCRG IN Equity,5145.187,,1288051,MAH MAN-RURAL-YO-RG,India,Open-End Fund,23.004,2.37,2.89,4.296,13.358,-5.012,57.05,20.814,0.735,17.013,31.437,1,,0.896,0,0.873,2476,4.278,0.103
MSACEFG IN Equity,363531,,148994.703,HDFC SMALL CAP FUND-RG,India,Open-End Fund,140.635,1.57,-0.921,4.826,19.096,-0.255,87.194,35.115,1.312,19.534,26.461,1,,0.793,0,0.827,6347,6.588,0.425
MTOBIDG IN Equity,470.456,,1971737,MOTIL OSW BSE 1000 IND FN-DG,India,Open-End Fund,9.811,0.33,-1.008,,,,,,,,29.425,,,,,1.04,57,,
MTONMRG IN Equity,275.376,,584815.375,MOTILAL OSWAL NIFTY MS IT-RG,India,Open-End Fund,9.167,1.13,-1.817,-3.819,2.485,,,,,,16.539,,,,,0.933,275,,
MUEBYRG IN Equity,39208.785,,584815.375,MNIDRA MULF MID CAP FD-REG G,India,Open-End Fund,32.437,1.86,-1.103,0.17,12.529,-5.602,82.69,30.137,1.211,18.482,38.802,1,,0.964,0,0.853,2766,-0.587,0.036
N50VTRG IN Equity,9986.518,,5159110,NIPPON NIFTY 50 VAL 20 - RG,India,Open-End Fund,18.247,0.78,0.665,-1.991,3.152,-9.843,47.1,,0.593,12.887,15.924,,,0.996,,2.205,1650,-4.216,-0.076
NANIMDG IN Equity,629.085,,1459779,NAVI NIFTY INDIA MANUF IN-DG,India,Open-End Fund,17.439,0.41,0.755,1.254,14.819,-4.494,,,,17.806,27.059,0,,,0,0.919,1094,,
NAVSMRG IN Equity,192.792,,207964.5,NAVI NF SC250 MM Q100 IX-RG,India,Open-End Fund,11.205,1,-4.368,-1.716,,,,,,,64.254,,,,,0.901,167,,
